"","id","category","item","sp1","dist","range"
"83","SPIgbBvMzqx","Animals","mouse",22,1,17
"84","SPIgbBvMzqx","Animals","rat",23,1,17
"85","SPIgbBvMzqx","Animals","lizard",24,1,17
"86","SPIgbBvMzqx","Animals","beardeddragon",25,-17,17
"87","SPIgbBvMzqx","Methods of Transportation","bus",1,2,9
"88","SPIgbBvMzqx","Methods of Transportation","car",3,9,9
"89","SPIgbBvMzqx","Methods of Transportation","bike",12,1,9
"90","SPIgbBvMzqx","Methods of Transportation","scooter",13,-3,9
"91","SPIgbBvMzqx","Methods of Transportation","helicopter",10,1,9
"92","SPIgbBvMzqx","Methods of Transportation","subway",11,-7,9
"93","SPIgbBvMzqx","Methods of Transportation","truck",4,4,9
"94","SPIgbBvMzqx","Methods of Transportation","uber",8,1,9
"95","SPIgbBvMzqx","Methods of Transportation","lyft",9,-2,9
"96","SPIgbBvMzqx","Units of measurement","inch",1,2,6
"97","SPIgbBvMzqx","Units of measurement","yard",3,4,6
"98","SPIgbBvMzqx","Units of measurement","feet",7,-1,6
"99","SPIgbBvMzqx","Units of measurement","mile",6,-4,6
"100","SPIgbBvMzqx","Units of measurement","meter",2,6,6
"101","SPIgbBvMzqx","Units of measurement","kilometer",8,-3,6
"102","SPIgbBvMzqx","Units of measurement","millimeter",5,-1,6
"103","SPIgbBvMzqx","Sporting Games","soccer",1,1,7
"104","SPIgbBvMzqx","Sporting Games","lacrosse",2,1,7
"105","SPIgbBvMzqx","Sporting Games","football",3,1,7
"106","SPIgbBvMzqx","Sporting Games","hockey",4,3,7
"107","SPIgbBvMzqx","Sporting Games","fieldhockey",7,1,7
"108","SPIgbBvMzqx","Sporting Games","trackandfield",8,1,7
"109","SPIgbBvMzqx","Sporting Games","baseball",9,-3,7
"110","SPIgbBvMzqx","Sporting Games","cricket",6,-1,7
"111","SPIgbBvMzqx","Sporting Games","croquet",5,7,7
"112","SPIgbBvMzqx","Sporting Games","dance",12,-1,7
"113","SPIgbBvMzqx","Sporting Games","gymnastics",11,2,7
"114","S133yp9D5FO","Vegetables","tomato",2,-1,2
"115","S133yp9D5FO","Vegetables","potato",1,2,2
"116","S133yp9D5FO","Pieces of Furniture","door",7,-5,5
"117","S133yp9D5FO","Pieces of Furniture","chair",2,1,5
"118","S133yp9D5FO","Pieces of Furniture","desk",3,1,5
"119","S133yp9D5FO","Pieces of Furniture","chest",4,-3,5
"120","S133yp9D5FO","Pieces of Furniture","sofa",1,5,5
"121","S133yp9D5FO","Cities","newyorkcity",1,5,5
"122","S133yp9D5FO","Cities","shanghai",6,-1,5
"123","S133yp9D5FO","Cities","beijing",5,-2,5
"124","S133yp9D5FO","Cities","syracuse",3,1,5
"125","S133yp9D5FO","Countries","unitedstates",1,1,3
"126","S133yp9D5FO","Countries","england",2,3,3
"127","S133yp9D5FO","Countries","australia",5,-2,3
"128","S133yp9D5FO","Countries","china",3,3,3
"129","S133yp9D5FO","Countries","canada",6,1,3
"130","S133yp9D5FO","Countries","france",7,-3,3
"131","S133yp9D5FO","Fruits","banana",1,5,5
"132","S133yp9D5FO","Fruits","watermelon",6,1,5
"133","S133yp9D5FO","Fruits","strawberry",7,-2,5
"134","S133yp9D5FO","Fruits","grape",5,-3,5
"135","S133yp9D5FO","Fruits","apple",2,2,5
"136","S133yp9D5FO","Fruits","orange",4,-1,5
"137","S133yp9D5FO","Animals","elephant",1,1,9
"138","S133yp9D5FO","Animals","cat",2,1,9
"139","S133yp9D5FO","Animals","dog",3,9,9
"140","S133yp9D5FO","Animals","mouse",12,-3,9
"141","S133yp9D5FO","Animals","cow",9,1,9
"142","S133yp9D5FO","Animals","ox",10,-3,9
"143","S133yp9D5FO","Animals","tiger",7,6,9
"144","S133yp9D5FO","Animals","rabbit",13,-7,9
"145","S133yp9D5FO","Animals","sheep",6,-2,9
"146","S133yp9D5FO","Animals","monkey",4,7,9
"147","S133yp9D5FO","Animals","pig",11,-6,9
"148","S133yp9D5FO","Methods of Transportation","ship",5,-4,6
"149","S133yp9D5FO","Methods of Transportation","airplane",1,2,6
"150","S133yp9D5FO","Methods of Transportation","subway",3,1,6
"151","S133yp9D5FO","Methods of Transportation","train",4,2,6
"152","S133yp9D5FO","Methods of Transportation","bike",6,-4,6
"153","S133yp9D5FO","Methods of Transportation","car",2,6,6
"154","S133yp9D5FO","Units of measurement","gram",8,-3,6
"155","S133yp9D5FO","Units of measurement","kilogram",5,2,6
"156","S133yp9D5FO","Units of measurement","millimeter",7,-6,6
"157","S133yp9D5FO","Units of measurement","centimeter",1,5,6
"158","S133yp9D5FO","Units of measurement","meter",6,3,6
"159","S133yp9D5FO","Units of measurement","inch",9,-5,6
"160","S133yp9D5FO","Musical Instruments","piano",1,1,2
"161","S133yp9D5FO","Musical Instruments","violin",2,2,2
"162","S133yp9D5FO","Musical Instruments","trumpet",4,1,2
"163","S8TlwDH0a1G","Vegetables","turnip",3,-1,11
"164","S8TlwDH0a1G","Vegetables","broccoli",2,6,11
"165","S8TlwDH0a1G","Vegetables","kale",8,1,11
"166","S8TlwDH0a1G","Vegetables","spinach",9,8,11
"167","S8TlwDH0a1G","Vegetables","pepper",17,-11,11
"168","S8TlwDH0a1G","Vegetables","beet",6,-1,11
"169","S8TlwDH0a1G","Vegetables","onion",5,7,11
"170","S8TlwDH0a1G","Vegetables","basil",12,2,11
"171","S8TlwDH0a1G","Vegetables","thyme",14,-10,11
"172","S8TlwDH0a1G","Pieces of Furniture","couch",1,4,11
"173","S8TlwDH0a1G","Pieces of Furniture","bed",5,-1,11
"174","S8TlwDH0a1G","Pieces of Furniture","dresser",4,9,11
"175","S8TlwDH0a1G","Pieces of Furniture","nightstand",13,-11,11
"176","S8TlwDH0a1G","Pieces of Furniture","chair",2,6,11
"177","S8TlwDH0a1G","Pieces of Furniture","rug",8,2,11
"178","S8TlwDH0a1G","Pieces of Furniture","vanity",10,-1,11
"179","S8TlwDH0a1G","Pieces of Furniture","desk",9,-3,11
"180","S8TlwDH0a1G","Clothing Articles","shoes",1,1,13
"181","S8TlwDH0a1G","Clothing Articles","socks",2,5,13
"182","S8TlwDH0a1G","Clothing Articles","shirt",7,-4,13
"183","S8TlwDH0a1G","Clothing Articles","pants",3,1,13
"184","S8TlwDH0a1G","Clothing Articles","skirt",4,2,13
"185","S8TlwDH0a1G","Clothing Articles","bra",6,2,13
"186","S8TlwDH0a1G","Clothing Articles","underwear",8,3,13
"187","S8TlwDH0a1G","Clothing Articles","leggings",11,5,13
"188","S8TlwDH0a1G","Clothing Articles","hat",16,-6,13
"189","S8TlwDH0a1G","Clothing Articles","coat",10,-1,13
"190","S8TlwDH0a1G","Clothing Articles","jacket",9,13,13
"191","S8TlwDH0a1G","Cities","sanfrancisco",6,-2,9
"192","S8TlwDH0a1G","Cities","albany",4,-3,9
"193","S8TlwDH0a1G","Cities","syracuse",1,1,9
"194","S8TlwDH0a1G","Cities","rochester",2,1,9
"195","S8TlwDH0a1G","Cities","utica",3,2,9
"196","S8TlwDH0a1G","Cities","losangeles",5,9,9
"197","S8TlwDH0a1G","Cities","seattle",14,-4,9
"198","S8TlwDH0a1G","Cities","houston",10,-1,9
"199","S8TlwDH0a1G","Cities","austin",9,7,9
"200","S8TlwDH0a1G","Cities","miami",16,1,9
"201","S8TlwDH0a1G","Cities","orlando",17,-5,9
"202","S8TlwDH0a1G","Countries","nepal",9,-8,13
"203","S8TlwDH0a1G","Countries","unitedstates",1,1,13
"204","S8TlwDH0a1G","Countries","canada",2,13,13
"205","S8TlwDH0a1G","Countries","england",15,-10,13
"206","S8TlwDH0a1G","Countries","vietnam",5,1,13
"207","S8TlwDH0a1G","Countries","china",6,2,13
"208","S8TlwDH0a1G","Countries","northkorea",8,-1,13
"209","S8TlwDH0a1G","Countries","southkorea",7,-3,13
"210","S8TlwDH0a1G","Countries","russia",4,-1,13
"211","S8TlwDH0a1G","Countries","ukraine",3,10,13
"212","S8TlwDH0a1G","Countries","ireland",13,-2,13
"213","S8TlwDH0a1G","Countries","pakistan",11,-1,13
"214","S8TlwDH0a1G","Countries","australia",10,6,13
"215","S8TlwDH0a1G","Fruits","apple",1,1,10
"216","S8TlwDH0a1G","Fruits","banana",2,3,10
"217","S8TlwDH0a1G","Fruits","pear",5,-2,10
"218","S8TlwDH0a1G","Fruits","peach",3,10,10
"219","S8TlwDH0a1G","Fruits","persimmon",13,1,10
"220","S8TlwDH0a1G","Fruits","grape",14,1,10
"221","S8TlwDH0a1G","Fruits","grapefruit",15,-7,10
"222","S8TlwDH0a1G","Fruits","watermelon",8,-4,10
"223","S8TlwDH0a1G","Fruits","orange",4,2,10
"224","S8TlwDH0a1G","Fruits","lime",6,1,10
"225","S8TlwDH0a1G","Fruits","lemon",7,10,10
"226","S8TlwDH0a1G","Fruits","cucumber",17,-6,10
"227","S8TlwDH0a1G","Fruits","corn",11,7,10
"228","S8TlwDH0a1G","Fruits","tomato",18,1,10
"229","S8TlwDH0a1G","Units of measurement","fahrenheit",14,1,14
"230","S8TlwDH0a1G","Units of measurement","centigrade",15,-14,14
"231","S8TlwDH0a1G","Units of measurement","kilometer",1,5,14
"232","S8TlwDH0a1G","Units of measurement","meter",6,4,14
"233","S8TlwDH0a1G","Units of measurement","liter",10,-6,14
"234","S8TlwDH0a1G","Units of measurement","feet",4,8,14
"235","S8TlwDH0a1G","Units of measurement","inch",12,-9,14
"236","S8TlwDH0a1G","Units of measurement","centimeter",3,2,14
"237","S8TlwDH0a1G","Units of measurement","mile",5,2,14
"238","S8TlwDH0a1G","Sporting Games","volleyball",3,12,16
"239","S8TlwDH0a1G","Sporting Games","tennis",15,-13,16
"240","S8TlwDH0a1G","Sporting Games","baseball",2,-1,16
"241","S8TlwDH0a1G","Sporting Games","football",1,16,16
"242","S8TlwDH0a1G","Sporting Games","lacrosse",17,-12,16
"243","S8TlwDH0a1G","Sporting Games","swimming",5,3,16
"244","S8TlwDH0a1G","Sporting Games","wrestling",8,8,16
"245","S8TlwDH0a1G","Sporting Games","badminton",16,-4,16
"246","S8TlwDH0a1G","Objects You Would Find in The Kitchen","spatula",7,-4,16
"247","S8TlwDH0a1G","Objects You Would Find in The Kitchen","cabinet",3,14,16
"248","S8TlwDH0a1G","Objects You Would Find in The Kitchen","ladle",17,-16,16
"249","S8TlwDH0a1G","Objects You Would Find in The Kitchen","oven",1,1,16
"250","S8TlwDH0a1G","Objects You Would Find in The Kitchen","microwave",2,12,16
"251","S8TlwDH0a1G","Objects You Would Find in The Kitchen","spoon",14,-1,16
"252","S8TlwDH0a1G","Objects You Would Find in The Kitchen","knife",13,2,16
"253","S8TlwDH0a1G","Objects You Would Find in The Kitchen","fork",15,1,16
"254","S8TlwDH0a1G","Objects You Would Find in The Kitchen","chopsticks",16,-11,16
"255","S8TlwDH0a1G","Objects You Would Find in The Kitchen","fridge",5,15,16
"256","S8TlwDH0a1G","Objects You Would Find in The Kitchen","foil",20,-14,16
"257","S8TlwDH0a1G","Objects You Would Find in The Kitchen","food",6,4,16
"258","S8TlwDH0a1G","Objects You Would Find in The Kitchen","trashcan",10,9,16
"259","S8TlwDH0a1G","Musical Instruments","piano",1,2,10
"260","S8TlwDH0a1G","Musical Instruments","guitar",3,-1,10
"261","S8TlwDH0a1G","Musical Instruments","triangle",2,10,10
"262","S8TlwDH0a1G","Musical Instruments","voice",12,-8,10
"263","S8TlwDH0a1G","Musical Instruments","flute",4,7,10
"264","S8TlwDH0a1G","Musical Instruments","xylophone",11,-1,10
"265","S8TlwDH0a1G","Musical Instruments","saxophone",10,-2,10
"266","S8TlwDH0a1G","Musical Instruments","violin",8,1,10
"267","S8TlwDH0a1G","Musical Instruments","harp",9,-2,10
"268","S8TlwDH0a1G","Musical Instruments","drum",7,-2,10
"269","S8TlwDH0a1G","Musical Instruments","keyboard",5,1,10
"270","S2pQP0qyEls","Clothing Articles","pants",1,1,3
"271","S2pQP0qyEls","Clothing Articles","shirt",2,3,3
"272","S2pQP0qyEls","Clothing Articles","jacket",5,-2,3
"273","S2pQP0qyEls","Clothing Articles","hat",3,3,3
"274","S2pQP0qyEls","Clothing Articles","socks",6,-2,3
"275","S2pQP0qyEls","Cities","philadelphia",1,9,9
"276","S2pQP0qyEls","Cities","nashville",10,-5,9
"277","S2pQP0qyEls","Cities","boston",5,3,9
"278","S2pQP0qyEls","Cities","orlando",8,1,9
"279","S2pQP0qyEls","Cities","miami",9,-2,9
"280","S2pQP0qyEls","Cities","tampa",7,-4,9
"281","S2pQP0qyEls","Cities","losangeles",3,1,9
"282","S2pQP0qyEls","Cities","sanfrancisco",4,8,9
"283","S2pQP0qyEls","Cities","syracuse",12,-6,9
"284","S2pQP0qyEls","Countries","france",3,11,13
"285","S2pQP0qyEls","Countries","england",14,1,13
"286","S2pQP0qyEls","Countries","wales",15,2,13
"287","S2pQP0qyEls","Countries","scotland",17,-13,13
"288","S2pQP0qyEls","Countries","belgium",4,1,13
"289","S2pQP0qyEls","Countries","portugal",5,1,13
"290","S2pQP0qyEls","Countries","spain",6,4,13
"291","S2pQP0qyEls","Countries","unitedstates",10,-2,13
"292","S2pQP0qyEls","Countries","china",8,-1,13
"293","S2pQP0qyEls","Countries","japan",7,6,13
"294","S2pQP0qyEls","Countries","peru",13,-2,13
"295","S2pQP0qyEls","Countries","brazil",11,-10,13
"296","S2pQP0qyEls","Fruits","orange",1,4,4
"297","S2pQP0qyEls","Fruits","strawberry",5,-2,4
"298","S2pQP0qyEls","Fruits","banana",3,1,4
"299","S2pQP0qyEls","Fruits","watermelon",4,-2,4
"300","S2pQP0qyEls","Fruits","grape",2,4,4
"301","S2pQP0qyEls","Animals","tiger",14,-13,13
"302","S2pQP0qyEls","Animals","lion",1,11,13
"303","S2pQP0qyEls","Animals","bear",12,-3,13
"304","S2pQP0qyEls","Animals","whale",9,-4,13
"305","S2pQP0qyEls","Animals","cat",5,-1,13
"306","S2pQP0qyEls","Animals","dog",4,3,13
"307","S2pQP0qyEls","Animals","eagle",7,1,13
"308","S2pQP0qyEls","Animals","panther",8,2,13
"309","S2pQP0qyEls","Animals","dolphin",10,3,13
"310","S2pQP0qyEls","Animals","cheetah",13,-7,13
"311","S2pQP0qyEls","Animals","mouse",6,-3,13
"312","S2pQP0qyEls","Animals","elephant",3,-1,13
"313","S2pQP0qyEls","Methods of Transportation","plane",1,2,6
"314","S2pQP0qyEls","Methods of Transportation","car",3,1,6
"315","S2pQP0qyEls","Methods of Transportation","bus",4,2,6
"316","S2pQP0qyEls","Methods of Transportation","train",6,-1,6
"317","S2pQP0qyEls","Methods of Transportation","boat",5,-3,6
"318","S2pQP0qyEls","Methods of Transportation","bike",2,6,6
"319","S2pQP0qyEls","Methods of Transportation","scooter",8,-1,6
"320","S2pQP0qyEls","Methods of Transportation","taxi",7,2,6
"321","S2pQP0qyEls","Units of measurement","meter",2,1,4
"322","S2pQP0qyEls","Units of measurement","yard",3,-2,4
"323","S2pQP0qyEls","Units of measurement","inch",1,4,4
"324","S2pQP0qyEls","Units of measurement","centimeter",5,1,4
"325","S2pQP0qyEls","Sporting Games","basketball",2,3,4
"326","S2pQP0qyEls","Sporting Games","football",5,-4,4
"327","S2pQP0qyEls","Sporting Games","soccer",1,3,4
"328","S2pQP0qyEls","Sporting Games","baseball",4,-1,4
"329","S2pQP0qyEls","Sporting Games","hockey",3,3,4
"330","S2pQP0qyEls","Sporting Games","softball",6,4,4
"331","S2pQP0qyEls","Sporting Games","tennis",10,2,4
"332","S2pQP0qyEls","Sporting Games","wrestling",12,-1,4
"333","S2pQP0qyEls","Objects You Would Find in The Kitchen","plate",5,-4,10
"334","S2pQP0qyEls","Objects You Would Find in The Kitchen","knife",1,2,10
"335","S2pQP0qyEls","Objects You Would Find in The Kitchen","spoon",3,-1,10
"336","S2pQP0qyEls","Objects You Would Find in The Kitchen","fork",2,10,10
"337","S2pQP0qyEls","Objects You Would Find in The Kitchen","soap",12,1,10
"338","S2pQP0qyEls","Objects You Would Find in The Kitchen","dishwasher",13,1,10
"339","S2pQP0qyEls","Objects You Would Find in The Kitchen","sponge",14,-4,10
"340","S2pQP0qyEls","Objects You Would Find in The Kitchen","food",10,-1,10
"341","S2pQP0qyEls","Objects You Would Find in The Kitchen","fridge",9,-5,10
"342","S2pQP0qyEls","Objects You Would Find in The Kitchen","cup",4,4,10
"343","S2pQP0qyEls","Musical Instruments","piano",2,1,7
"344","S2pQP0qyEls","Musical Instruments","guitar",3,7,7
"345","S2pQP0qyEls","Musical Instruments","trombone",10,1,7
"346","S2pQP0qyEls","Musical Instruments","flute",11,-6,7
"347","S2pQP0qyEls","Musical Instruments","triangle",5,-1,7
"348","S2pQP0qyEls","Musical Instruments","drum",4,3,7
"349","S2pQP0qyEls","Musical Instruments","saxophone",7,-1,7
"350","S2pQP0qyEls","Musical Instruments","bass",6,-5,7
"351","S2pQP0qyEls","Musical Instruments","violin",1,7,7
"352","S2pQP0qyEls","Musical Instruments","chello",8,1,7
"353","SfK5n9Drwv3","Vegetables","onion",5,-4,4
"354","SfK5n9Drwv3","Vegetables","carrot",1,1,4
"355","SfK5n9Drwv3","Pieces of Furniture","lamp",4,4,7
"356","SfK5n9Drwv3","Pieces of Furniture","couch",8,1,7
"357","SfK5n9Drwv3","Pieces of Furniture","sofa",9,-7,7
"358","SfK5n9Drwv3","Pieces of Furniture","table",2,-1,7
"359","SfK5n9Drwv3","Pieces of Furniture","chair",1,2,7
"360","SfK5n9Drwv3","Pieces of Furniture","desk",3,2,7
"361","SfK5n9Drwv3","Clothing Articles","shoes",11,1,10
"362","SfK5n9Drwv3","Clothing Articles","coat",12,-10,10
"363","SfK5n9Drwv3","Clothing Articles","sweater",2,1,10
"364","SfK5n9Drwv3","Clothing Articles","shirt",3,1,10
"365","SfK5n9Drwv3","Clothing Articles","tshirt",4,6,10
"366","SfK5n9Drwv3","Clothing Articles","scarf",10,-5,10
"367","SfK5n9Drwv3","Clothing Articles","pants",5,1,10
"368","SfK5n9Drwv3","Clothing Articles","underwear",6,3,10
"369","SfK5n9Drwv3","Cities","beijing",1,2,2
"370","SfK5n9Drwv3","Cities","shenzhen",3,-1,2
"371","SfK5n9Drwv3","Cities","shanghai",2,2,2
"372","SfK5n9Drwv3","Cities","newyorkcity",4,2,2
"373","SfK5n9Drwv3","Cities","seattle",6,1,2
"374","SfK5n9Drwv3","Cities","syracuse",7,1,2
"375","SfK5n9Drwv3","Countries","china",1,2,3
"376","SfK5n9Drwv3","Countries","unitedstates",3,2,3
"377","SfK5n9Drwv3","Countries","ukraine",5,1,3
"378","SfK5n9Drwv3","Countries","russia",6,2,3
"379","SfK5n9Drwv3","Countries","southkorea",8,1,3
"380","SfK5n9Drwv3","Countries","northkorea",9,-2,3
"381","SfK5n9Drwv3","Countries","japanese",7,-3,3
"382","SfK5n9Drwv3","Fruits","kiwi",4,-3,12
"383","SfK5n9Drwv3","Fruits","passionfruit",1,12,12
"384","SfK5n9Drwv3","Fruits","banana",13,-1,12
"385","SfK5n9Drwv3","Fruits","apple",12,-9,12
"386","SfK5n9Drwv3","Fruits","pineapple",3,7,12
"387","SfK5n9Drwv3","Fruits","strawberry",10,-4,12
"388","SfK5n9Drwv3","Fruits","transberry",6,2,12
"389","SfK5n9Drwv3","Fruits","treeberry",8,-3,12
"390","SfK5n9Drwv3","Fruits","blueberry",5,6,12
"391","SfK5n9Drwv3","Fruits","coconut",11,3,12
"392","SfK5n9Drwv3","Units of measurement","meter",1,3,4
"393","SfK5n9Drwv3","Units of measurement","nanometer",4,-2,4
"394","SfK5n9Drwv3","Units of measurement","centimeter",2,4,4
"395","SfK5n9Drwv3","Units of measurement","gram",6,1,4
"396","SfK5n9Drwv3","Units of measurement","kilogram",7,1,4
"397","SfK5n9Drwv3","Sporting Games","volleyball",8,5,11
"398","SfK5n9Drwv3","Sporting Games","baseball",13,-11,11
"399","SfK5n9Drwv3","Sporting Games","football",2,1,11
"400","SfK5n9Drwv3","Sporting Games","soccer",3,1,11
"401","SfK5n9Drwv3","Sporting Games","badminton",4,1,11
"402","SfK5n9Drwv3","Objects You Would Find in The Kitchen","seasoning",1,6,6
"403","SfK5n9Drwv3","Objects You Would Find in The Kitchen","oil",7,4,6
"404","SfK5n9Drwv3","Objects You Would Find in The Kitchen","spoon",11,-1,6
"405","SfK5n9Drwv3","Objects You Would Find in The Kitchen","fork",10,2,6
"406","SfK5n9Drwv3","Objects You Would Find in The Kitchen","microwave",12,1,6
"407","SfK5n9Drwv3","Musical Instruments","piano",1,1,4
"408","SfK5n9Drwv3","Musical Instruments","guitar",2,4,4
"409","SfK5n9Drwv3","Musical Instruments","electricguitar",6,-2,4
"410","SAZerVZ9Hck","Vegetables","lettuce",1,3,7
"411","SAZerVZ9Hck","Vegetables","tomato",4,4,7
"412","SAZerVZ9Hck","Vegetables","spinach",8,1,7
"413","SAZerVZ9Hck","Vegetables","onion",9,-7,7
"414","SAZerVZ9Hck","Vegetables","broccoli",2,1,7
"415","SAZerVZ9Hck","Pieces of Furniture","chair",2,-1,4
"416","SAZerVZ9Hck","Pieces of Furniture","couch",1,4,4
"417","SAZerVZ9Hck","Pieces of Furniture","sofa",5,4,4
"418","SAZerVZ9Hck","Pieces of Furniture","table",9,-3,4
"419","SAZerVZ9Hck","Pieces of Furniture","loveseat",6,1,4
"420","SAZerVZ9Hck","Pieces of Furniture","beanbag",7,1,4
"421","SAZerVZ9Hck","Clothing Articles","shirt",1,3,9
"422","SAZerVZ9Hck","Clothing Articles","shorts",4,-1,9
"423","SAZerVZ9Hck","Clothing Articles","underwear",3,-1,9
"424","SAZerVZ9Hck","Clothing Articles","pants",2,5,9
"425","SAZerVZ9Hck","Clothing Articles","sweatpants",7,-2,9
"426","SAZerVZ9Hck","Clothing Articles","socks",5,9,9
"427","SAZerVZ9Hck","Clothing Articles","shoes",14,-8,9
"428","SAZerVZ9Hck","Clothing Articles","sweatshirt",6,2,9
"429","SAZerVZ9Hck","Clothing Articles","jacket",8,1,9
"430","SAZerVZ9Hck","Clothing Articles","coat",9,3,9
"431","SAZerVZ9Hck","Clothing Articles","hat",12,1,9
"432","SAZerVZ9Hck","Clothing Articles","beanie",13,2,9
"433","SAZerVZ9Hck","Clothing Articles","gloves",15,-5,9
"434","SAZerVZ9Hck","Fruits","orange",1,2,9
"435","SAZerVZ9Hck","Fruits","apple",3,1,9
"436","SAZerVZ9Hck","Fruits","lemon",4,5,9
"437","SAZerVZ9Hck","Fruits","lime",9,-2,9
"438","SAZerVZ9Hck","Fruits","grapefruit",7,-2,9
"439","SAZerVZ9Hck","Fruits","watermelon",5,3,9
"440","SAZerVZ9Hck","Fruits","melon",8,3,9
